Year,Region,Revenue_GBP_m,Adjusted_EBIT_GBP_m,Adj_EBIT_Margin_pct,Comments,Web_Traffic_Share_pct,Demo_Age_Largest,Demo_Gender_Female_pct,Demo_Gender_Male_pct
2025,US (Americas proxy),288.5,13.6,4.7,Americas region used as proxy for US; Americas includes USA plus other markets. No US-only revenue/margin disclosed.,36.29,25-34,63.51,36.49
2024,US (Americas proxy),325.8,41.7,12.8,Americas region used as proxy for US; Americas includes USA plus other markets. No US-only revenue/margin disclosed.,36.29,25-34,63.51,36.49
